sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO54154,0003,18,20200111,20200120,20200118,500,2,250
SO54155,0010,37,20230815,20230816,20230821,3000,5,600
SO54156,0001,23,20220505,20220508,20220510,500,2,250
SO54157,0009,5,20200119,20200124,20200202,45,3,15
SO54158,0020,70,20221209,20221217,20221216,750,3,250
SO54159,0023,59,20230820,20230825,20230827,120,1,120
SO54160,0005,52,20240820,20240827,20240902,30,2,
SO54161,0015,42,20210523,20210524,20210601,90,2,45
SO54162,0018,2,20210619,20210625,20210627,15,1,-15
SO54163,0022,40,20231114,20231116,20231129,190,2,120
SO54164,0014,48,20220501,20220510,20220513,135,3,45
SO54165,0002,68,202207,20220712,20220713,600,1,600
SO54166,0006,69,202011,20201105,20201112,750,3,250
SO54167,0002,66,20220701,20220702,20220713,600,1,600
SO54168,0021,40,20240121,20240122,20240201,,2,15
SO54169,0011,9,20230113,20230114,20230119,130,2,15
SO54170,0023,54,202202,20220212,20220217,500,2,250
SO54171,0004,45,202008,20200902,20200912,1200,2,600
SO54172,0024,3,20210903,20210911,20210918,3000,5,600
SO54173,0014,45,0,20201118,20201121,75,5,15
SO54174,0000,31,20210226,20210228,20210304,45,3,15
SO54175,0007,6,20220403,20220411,20220411,135,3,45
SO54176,0009,30,20240728,20240807,20240807,1800,3,600
SO54177,0004,67,20210328,20210404,20210406,30,2,15
SO54178,0005,55,20230212,20230220,20230217,500,2,250
SO54179,0004,39,20220209,20220212,20220222,90,2,45
SO54180,0014,8,202302,20230304,20230308,1800,3,600
SO54181,0020,11,0,20220716,20220716,135,3,45
SO54182,0001,10,20210120,20210130,20210204,135,3,45
SO54183,0000,28,20210124,20210126,20210205,600,1,600
SO54184,0010,37,20220218,20220226,20220303,600,5,120
SO54185,0014,13,20240702,20240710,20240712,120,1,
SO54186,0023,19,20200203,20200208,20200216,1800,3,600
SO54187,0007,49,20230312,20230316,20230324,360,3,120
SO54188,0020,63,20220801,20220804,20220811,45,1,45
SO54189,0017,8,20221209,20221210,20221215,75,5,15
SO54190,0007,9,20231219,20231222,20231224,600,1,
SO54191,0019,62,20230912,20230920,20230917,600,1,
SO54192,0008,69,20210810,20210811,20210823,1200,5,250
SO54193,0016,20,20210508,20210512,20210522,360,3,120
SO54194,0011,52,20220729,20220808,20220806,325,5,45
SO54195,0024,5,20200710,20200717,20200721,1200,2,600
SO54196,0002,64,20240927,20241004,20241012,1200,2,600
SO54197,0001,30,20210308,20210318,20210320,30,2,15
SO54198,0017,5,20210102,20210108,20210107,600,1,600
SO54199,0002,39,20201128,20201208,20201206,750,3,250
SO54200,0023,18,0,20240608,20240619,600,5,120
SO54201,0010,51,20240503,20240509,20240508,600,5,120
SO54202,0017,49,202206,20220606,20220618,750,3,250
SO54203,0022,10,20200617,20200622,20200624,40,2,45
SO54204,0009,57,20220107,20220112,20220113,15,1,15
SO54205,0013,14,20200223,20200225,20200304,45,3,15
SO54206,0000,38,20220427,20220504,20220503,3000,5,600
SO54207,0005,49,20201213,20201216,20201222,240,2,
SO54208,0013,39,20220918,20220920,20220928,90,2,45
SO54209,0014,14,20201004,20201009,20201009,240,2,120
SO54210,0014,43,20220531,20220610,20220607,240,2,120
SO54211,0005,51,20211015,20211020,20211030,1200,2,600
SO54212,0012,47,20200821,20200831,20200829,,3,600
SO54213,0023,60,20231221,20231225,20240102,30,2,15
SO54214,0015,18,20230721,20230726,20230729,,2,45
SO54215,0019,62,20230407,20230414,20230420,750,3,250
SO54216,0017,11,20200811,20200815,20200826,600,5,120
SO54217,0020,52,202403,20240327,20240401,15,1,15
SO54218,0017,29,20220701,20220707,20220712,1200,2,-600
SO54219,0015,14,20210828,20210904,20210903,45,1,45
SO54220,0016,62,20211214,20211222,20211220,500,2,250
